ID;Host Since;Host Response Rate;Neighbourhood Cleansed;Neighbourhood Group Cleansed;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Security Deposit;Cleaning Fee;Number of Reviews;Review Scores Rating;Calculated host listings count
6424341;20/1/15;100;Justicia;Centro;Madrid;28004;Spain;40.422.254.291.108.300;-36.989.675.514.782.300;Apartment;Entire home/apt;4;2.0;2;4;Real Bed;65;;25;160;97;1
12487596;14/11/12;96;Justicia;Centro;Madrid;28004;Spain;40.423.398.820.770.000;-36.951.542.634.818.800;Apartment;Entire home/apt;14;5.0;5;10;Real Bed;500;500;100;11;100;3
1246038;30/1/11;100;Justicia;Centro;Madrid;28004;Spain;4.042.329.301.916.280;-36.981.751.295.864.800;Apartment;Entire home/apt;6;;2;4;Real Bed;102;300;52;24;81;11
17791595;17/3/17;100;Universidad;Centro;Madrid;28004;Spain;4.042.150.552.189.900;-3.704.067.827.432.810;Apartment;Entire home/apt;2;1.0;0;1;Real Bed;30;;6;2;70;3
12976589;15/11/11;94;Palacio;Centro;Madrid;28013;Spain;4.041.705.426.837.770;-3.709.551.583.827.210;Apartment;Entire home/apt;2;1.0;0;1;Real Bed;65;200;33;8;80;51
4491361;3/11/14;100;Palacio;Centro;Madrid;28005;Spain;4.041.276.980.925.110;-37.113.213.827.151.600;Apartment;Entire home/apt;2;1.0;1;1;Real Bed;60;;25;55;96;1
142508;12/6/11;100;Palacio;Centro;Madrid;28005;Spain;4.041.299.147.330.880;-37.112.731.418.668.300;Apartment;Private room;1;1.0;1;1;Real Bed;27;;;38;95;1
8253343;6/6/12;89;Embajadores;Centro;Madrid;28012;Spain;40.411.912.766.492.200;-37.068.795.375.191.300;Apartment;Entire home/apt;6;2.0;3;4;Real Bed;140;500;55;58;99;6
5305549;25/1/12;100;Embajadores;Centro;Madrid;28012;Spain;4.040.824.874.890.310;-36.968.588.864.754.300;Apartment;Entire home/apt;3;1.0;1;1;Real Bed;70;200;30;33;88;40
15816639;16/12/13;86;Embajadores;Centro;Madrid;28012;Spain;40.410.336.902.331.000;-3.703.726.527.227.730;Apartment;Private room;2;1.0;1;1;Real Bed;30;;10;2;100;2
199201;27/6/11;100;Embajadores;Centro;Madrid;28012;Spain;4.041.391.880.800.780;-37.035.616.729.826.200;Apartment;Private room;2;1.0;1;1;Real Bed;70;;;87;96;1
5429605;20/6/11;100;Embajadores;Centro;Madrid;28012;Spain;40.407.037.947.777.700;-36.994.438.698.214.000;Apartment;Entire home/apt;2;1.0;0;1;Pull-out Sofa;55;150;20;67;91;8
7272774;25/8/13;100;Embajadores;Centro;Madrid;28012;Spain;4.041.009.780.747.900;-36.951.706.127.733.800;Loft;Private room;2;1.0;1;1;Real Bed;28;;;1;100;2
